date,reporting_states_uts,commodities_observed,state_commodity_rows,official_source_rows
2001-01-01,1,3,3,5
2001-02-01,1,2,2,2
2001-03-01,9,5,14,55
2001-04-01,7,6,15,106
2001-05-01,6,5,13,98
2001-06-01,6,7,16,244
2001-07-01,7,7,20,406
2001-08-01,10,7,25,340
2001-09-01,11,7,30,369
2001-10-01,9,7,25,295
2001-11-01,9,7,30,239
2001-12-01,8,8,31,497
2002-01-01,12,8,42,1211
2002-02-01,14,8,58,1437
2002-03-01,14,8,67,1791
2002-04-01,17,8,78,4454
2002-05-01,18,8,76,4576
2002-06-01,20,8,85,4941
2002-07-01,21,8,92,6974
2002-08-01,21,8,96,7838
2002-09-01,22,8,98,8835
2002-10-01,21,8,100,9271
2002-11-01,21,8,99,10517
2002-12-01,22,8,103,10166
2003-01-01,24,8,109,14239
2003-02-01,26,8,124,14211
2003-03-01,26,8,128,14407
2003-04-01,26,8,129,15567
2003-05-01,27,8,135,18100
2003-06-01,27,8,138,18479
2003-07-01,27,8,139,20086
2003-08-01,25,8,138,17883
2003-09-01,28,8,147,18856
2003-10-01,28,8,144,16755
2003-11-01,27,8,143,17105
2003-12-01,26,8,137,17881
2004-01-01,26,8,144,23485
2004-02-01,26,8,145,17197
2004-03-01,26,8,142,18805
2004-04-01,25,8,132,16286
2004-05-01,29,8,149,15533
2004-06-01,29,8,145,19154
2004-07-01,29,8,149,18695
2004-08-01,27,8,142,19709
2004-09-01,27,8,143,19260
2004-10-01,26,8,141,20345
2004-11-01,26,8,140,17715
2004-12-01,25,8,137,21972
2005-01-01,24,8,135,21812
2005-02-01,24,8,133,21417
2005-03-01,25,8,141,23760
2005-04-01,25,8,140,24196
2005-05-01,26,8,139,26568
2005-06-01,25,8,137,26933
2005-07-01,26,8,141,27284
2005-08-01,27,8,152,29429
2005-09-01,30,8,159,30706
2005-10-01,28,8,153,31055
2005-11-01,27,8,153,29106
2005-12-01,27,8,154,37752
2006-01-01,28,8,162,35815
2006-02-01,28,8,158,34763
2006-03-01,27,8,154,37781
2006-04-01,27,8,155,38182
2006-05-01,27,8,156,52337
2006-06-01,27,8,151,53112
2006-07-01,27,8,159,51854
2006-08-01,27,8,157,47724
2006-09-01,26,8,152,49921
2006-10-01,26,8,145,39752
2006-11-01,27,8,148,45535
2006-12-01,26,8,147,48607
2007-01-01,25,8,148,54036
2007-02-01,25,8,147,51322
2007-03-01,25,8,150,57603
2007-04-01,25,8,149,60261
2007-05-01,26,8,151,57450
2007-06-01,27,8,151,59891
2007-07-01,26,8,146,60209
