date,horizon_months,forecast,lower_95_empirical,upper_95_empirical,assumption
2026-01-01,1,158.388052,155.2747585,162.3516718,External drivers held at latest observed values
2026-02-01,2,158.388052,155.2747585,162.3516718,External drivers held at latest observed values
2026-03-01,3,158.388052,155.2747585,162.3516718,External drivers held at latest observed values
2026-04-01,4,158.388052,155.2747585,162.3516718,External drivers held at latest observed values
2026-05-01,5,158.388052,155.2747585,162.3516718,External drivers held at latest observed values
2026-06-01,6,158.388052,155.2747585,162.3516718,External drivers held at latest observed values
2026-07-01,7,158.388052,155.2747585,162.3516718,External drivers held at latest observed values
2026-08-01,8,158.388052,155.2747585,162.3516718,External drivers held at latest observed values
2026-09-01,9,158.388052,155.2747585,162.3516718,External drivers held at latest observed values
2026-10-01,10,158.388052,155.2747585,162.3516718,External drivers held at latest observed values
2026-11-01,11,158.388052,155.2747585,162.3516718,External drivers held at latest observed values
2026-12-01,12,158.388052,155.2747585,162.3516718,External drivers held at latest observed values
