feature_month,target_date,horizon_months,input_status,shock_threshold_yoy_pct,persistence_probability,logistic_balanced_probability,random_forest_balanced_probability,hist_gradient_boosting_probability,selected_model,selected_model_probability,scenario_assumption
2025-12-01,2026-01-01,1,observed inputs,8.591251763628128,0.0,4.7360430701180945e-05,0.07969905682523731,0.02586590744287365,hist_gradient_boosting,0.02586590744287365,Notebook 05 CPI path; external price levels held at Dec-2025; future climate anomalies set to seasonal normal
2026-01-01,2026-02-01,2,conditional forecast inputs,8.591251763628128,0.0,9.411381505398383e-05,0.08052445750800474,0.01125168024908451,hist_gradient_boosting,0.01125168024908451,Notebook 05 CPI path; external price levels held at Dec-2025; future climate anomalies set to seasonal normal
2026-02-01,2026-03-01,3,conditional forecast inputs,8.591251763628128,0.0,0.0002469657537748671,0.0740235925890612,0.01202362230026512,hist_gradient_boosting,0.01202362230026512,Notebook 05 CPI path; external price levels held at Dec-2025; future climate anomalies set to seasonal normal
2026-03-01,2026-04-01,4,conditional forecast inputs,8.591251763628128,0.0,0.00040617475617967685,0.06996075401918038,0.01202362230026512,hist_gradient_boosting,0.01202362230026512,Notebook 05 CPI path; external price levels held at Dec-2025; future climate anomalies set to seasonal normal
2026-04-01,2026-05-01,5,conditional forecast inputs,8.591251763628128,0.0,0.000693912154935416,0.0773575172464581,0.00797033400471516,hist_gradient_boosting,0.00797033400471516,Notebook 05 CPI path; external price levels held at Dec-2025; future climate anomalies set to seasonal normal
2026-05-01,2026-06-01,6,conditional forecast inputs,8.591251763628128,0.0,0.0010098247327491954,0.07431615471604448,0.008540293052855235,hist_gradient_boosting,0.008540293052855235,Notebook 05 CPI path; external price levels held at Dec-2025; future climate anomalies set to seasonal normal
2026-06-01,2026-07-01,7,conditional forecast inputs,8.591251763628128,0.0,0.0017566438361450993,0.0773575172464581,0.03799609126846582,hist_gradient_boosting,0.03799609126846582,Notebook 05 CPI path; external price levels held at Dec-2025; future climate anomalies set to seasonal normal
2026-07-01,2026-08-01,8,conditional forecast inputs,8.591251763628128,0.0,0.001862258556554816,0.08324040022352464,0.04123813257200249,hist_gradient_boosting,0.04123813257200249,Notebook 05 CPI path; external price levels held at Dec-2025; future climate anomalies set to seasonal normal
2026-08-01,2026-09-01,9,conditional forecast inputs,8.591251763628128,0.0,0.0010501702498815612,0.06996075401918038,0.01426897222360953,hist_gradient_boosting,0.01426897222360953,Notebook 05 CPI path; external price levels held at Dec-2025; future climate anomalies set to seasonal normal
2026-09-01,2026-10-01,10,conditional forecast inputs,8.591251763628128,0.0,0.0011246379983114946,0.06996075401918038,0.016560447067190807,hist_gradient_boosting,0.016560447067190807,Notebook 05 CPI path; external price levels held at Dec-2025; future climate anomalies set to seasonal normal
2026-10-01,2026-11-01,11,conditional forecast inputs,8.591251763628128,0.0,0.0027137687441729117,0.0773575172464581,0.018084936955688326,hist_gradient_boosting,0.018084936955688326,Notebook 05 CPI path; external price levels held at Dec-2025; future climate anomalies set to seasonal normal
2026-11-01,2026-12-01,12,conditional forecast inputs,8.591251763628128,0.0,0.0032651723882640253,0.07431615471604448,0.017766900264841953,hist_gradient_boosting,0.017766900264841953,Notebook 05 CPI path; external price levels held at Dec-2025; future climate anomalies set to seasonal normal
