feature,rmse_importance_mean,rmse_importance_sd
cpi_lag_12,1.0100581219105438,0.16923897552595263
cpi_lag_1,0.925503218353437,0.16625171209298212
mandi_price_index_2015_100_lag1,0.8524949110190494,0.19794519180321668
cpi_rolling_mean_12_lag1,0.7956453730160966,0.154686484487902
cpi_rolling_mean_3_lag1,0.7536780565449872,0.15266736734339534
cpi_lag_2,0.6981841252868748,0.14973864374206344
cpi_lag_6,0.672771804431978,0.15018573484001568
cpi_lag_3,0.6628071325299455,0.1452537106179059
state_avg_temperature_c_lag1,0.2541558115802267,0.05263790191438817
trend_months,0.23086059517177152,0.08367638243148229
state_avg_rainfall_mm_lag1,0.14990135936600107,0.04853316099696765
month_cos,0.06695869181920411,0.02118580900771627
world_wheat_usd_per_mt_lag1,0.012491271337165584,0.013670975890865304
world_crude_oil_usd_per_bbl_lag1,-0.018050409510304455,0.010903674676493995
month_sin,-0.037055607347795484,0.023413076934265722
cpi_rolling_std_12_lag1,-0.1304430468572844,0.06197405028814358
