feature,roc_auc_decrease_mean,roc_auc_decrease_sd
food_cpi_yoy_current,0.2801454545454545,0.11181202643811777
food_cpi_mom_current,0.04109090909090901,0.025295607693728985
mandi_yoy_current,0.04072727272727266,0.033808405233947514
target_month_cos,0.025309090909090837,0.022112679134659297
world_wheat_yoy_current,0.009745454545454472,0.01013469615310209
trend_months,0.0,0.0
world_crude_yoy_current,-0.0038909090909091592,0.0072043145933759975
food_cpi_yoy_lag1,-0.0039272727272728,0.03131363075522191
temperature_anomaly_current,-0.009745454545454614,0.010650014550100647
target_month_sin,-0.014800000000000075,0.019705299870217824
rainfall_anomaly_current,-0.03500000000000007,0.029279361190701157
