region,mean_yoy_price_change,median_yoy_price_change,yoy_volatility,valid_observations,commodities,active_months,official_source_rows,window,window_months,window_start,window_end
West Bengal,2.765437464882206,3.1271460859471523,36.28897272070154,132,7,24,151926,2-year,24,2024-08-01,2026-07-01
Uttarakhand,1.247308088228126,2.1320126984568644,30.11480719407228,124,7,24,25157,2-year,24,2024-08-01,2026-07-01
Delhi,12.088299502469752,1.1495057462026836,60.55480970329725,132,7,24,6543,2-year,24,2024-08-01,2026-07-01
Odisha,2.2924322964637462,-0.7801781847634137,38.39618119128865,97,5,24,48592,2-year,24,2024-08-01,2026-07-01
Uttar Pradesh,2.6051611675680646,-0.8673161995874368,39.346886809056706,184,8,24,486637,2-year,24,2024-08-01,2026-07-01
Punjab,3.3275235363458697,-0.8769428236931663,45.98543982615644,90,4,24,104936,2-year,24,2024-08-01,2026-07-01
Manipur,1.200291062931458,-1.0231362114579978,25.825402852872053,102,5,23,7323,2-year,24,2024-08-01,2026-07-01
Kerala,0.9897391314675742,-1.301934533577248,27.326544705201552,136,6,24,115038,2-year,24,2024-08-01,2026-07-01
Haryana,2.7050345855289697,-2.9203988109496315,41.318761357240696,112,5,24,115755,2-year,24,2024-08-01,2026-07-01
Rajasthan,2.8413786376562866,-3.025867000061305,40.31938153847135,158,7,24,111459,2-year,24,2024-08-01,2026-07-01
Gujarat,1.2011086109755886,-3.390211818523298,39.63891671508592,184,8,24,113131,2-year,24,2024-08-01,2026-07-01
Tripura,-2.065627078525536,-3.8320336622515994,30.76459004280144,96,4,24,31603,2-year,24,2024-08-01,2026-07-01
Nagaland,-3.4064020207180454,-3.939585256364742,35.647536648811574,56,3,24,1453,2-year,24,2024-08-01,2026-07-01
Maharashtra,1.516741390764161,-4.296671223617571,39.87992311753474,184,8,24,224854,2-year,24,2024-08-01,2026-07-01
Madhya Pradesh,1.574701321584984,-5.076104014095134,45.50039171170923,160,7,24,445741,2-year,24,2024-08-01,2026-07-01
Chhattisgarh,1.8397130335522924,-6.287103408939132,39.009586089198116,147,7,24,12882,2-year,24,2024-08-01,2026-07-01
Meghalaya,3.5295146726234172,-6.72009744214373,39.62570907260601,64,4,24,1155,2-year,24,2024-08-01,2026-07-01
Telangana,-1.4165991356318277,-6.763007134306697,37.94241608175467,151,7,24,24195,2-year,24,2024-08-01,2026-07-01
Karnataka,-0.37834945538277354,-7.191972968185224,37.84087796508086,182,8,24,48519,2-year,24,2024-08-01,2026-07-01
Bihar,-0.03455963014879193,-7.218072358568289,39.120638497563064,70,4,23,9474,2-year,24,2024-08-01,2026-07-01
Tamil Nadu,292.14507002392304,-7.750378661361424,1388.9544524657304,65,5,21,231526,2-year,24,2024-08-01,2026-07-01
Andhra Pradesh,1.695347556591757,-8.202481849739629,57.077221228199804,125,7,24,6736,2-year,24,2024-08-01,2026-07-01
Jammu and Kashmir,0.04942913487467634,-12.97490665466518,46.389121453758136,72,3,24,9562,2-year,24,2024-08-01,2026-07-01
Himachal Pradesh,0.45457919119435825,-18.29793485545943,48.24446881503644,72,3,24,36842,2-year,24,2024-08-01,2026-07-01
Goa,-0.4330381761560221,-19.40395793676818,53.38112935508002,48,2,24,1397,2-year,24,2024-08-01,2026-07-01
Chandigarh,-0.60002865942512,-20.51471017946499,60.349691595100836,72,3,24,1732,2-year,24,2024-08-01,2026-07-01
West Bengal,8.696968193074646,6.695996876912103,38.166928720548505,350,7,60,381321,5-year,60,2021-08-01,2026-07-01
Maharashtra,9.547235019692538,4.6831650930473145,45.9211091326937,472,8,60,569206,5-year,60,2021-08-01,2026-07-01
Uttar Pradesh,7.022663211280051,3.829862022697861,36.73194127295919,472,8,60,1288654,5-year,60,2021-08-01,2026-07-01
Delhi,15.629660175823863,3.354308649178628,61.72643049352626,287,7,60,14853,5-year,60,2021-08-01,2026-07-01
Uttarakhand,5.598062021382892,3.0762712325828168,34.305945725825154,282,8,60,56537,5-year,60,2021-08-01,2026-07-01
Kerala,8.107684086779662,2.8173194494444447,35.071877110631064,376,7,60,268422,5-year,60,2021-08-01,2026-07-01
Odisha,5.312085465389252,2.5844879065421544,40.244590365041674,253,5,60,133327,5-year,60,2021-08-01,2026-07-01
Haryana,8.557262879719374,2.4375365796835746,49.501740275231576,244,5,60,251969,5-year,60,2021-08-01,2026-07-01
Chhattisgarh,10.430138744332837,2.241721604908209,46.03202268229115,399,7,60,37188,5-year,60,2021-08-01,2026-07-01
Punjab,8.118941875356676,1.9968334016810863,47.37627613635837,208,4,60,249769,5-year,60,2021-08-01,2026-07-01
Andhra Pradesh,15.309887342208235,1.320675105485236,78.82407631020196,279,7,60,15054,5-year,60,2021-08-01,2026-07-01
Rajasthan,8.089849907049036,1.2835155528070796,39.62121549349639,406,7,60,271002,5-year,60,2021-08-01,2026-07-01
Gujarat,9.030600441739347,1.1837721091891074,42.547541124207626,472,8,60,237374,5-year,60,2021-08-01,2026-07-01
Tripura,4.143284515835145,0.9556276198413372,32.26546223985031,240,4,60,79641,5-year,60,2021-08-01,2026-07-01
Manipur,5.55298124764437,0.6962351727694882,26.552284645801386,173,5,38,11952,5-year,60,2021-08-01,2026-07-01
Madhya Pradesh,6.785425826664768,0.50447616039071,41.75128259155287,412,7,60,846142,5-year,60,2021-08-01,2026-07-01
