model,term,coefficient,std_error,t_stat,p_value,ci_95_lower,ci_95_upper,window_start,window_end
state_2-year,Intercept,-120.5111386983701,4.468668111181109,-26.968021723707277,3.506798788744514e-160,-129.2695672551477,-111.7527101415925,2024-08-01,2026-07-01
state_2-year,C(calendar_month)[T.2],-9.382305830547963,1.5822498802767397,-5.929724468619946,3.0344343100925944e-09,-12.483458610433185,-6.281153050662741,2024-08-01,2026-07-01
state_2-year,C(calendar_month)[T.3],-17.894940645916236,2.7933278021960732,-6.406316019139428,1.4907780701297078e-10,-23.369762535234962,-12.420118756597509,2024-08-01,2026-07-01
state_2-year,C(calendar_month)[T.4],-16.451238195660007,3.2637895591273183,-5.040532760347082,4.6423764535618023e-07,-22.848148184667412,-10.054328206652603,2024-08-01,2026-07-01
state_2-year,C(calendar_month)[T.5],-10.118590223820156,2.506863844697813,-4.036354126380521,5.4288253860721384e-05,-15.031953073573481,-5.205227374066832,2024-08-01,2026-07-01
state_2-year,C(calendar_month)[T.6],-2.4651170526419395,4.018867240251366,-0.6133860377253356,0.5396211158971764,-10.341952102182496,5.411717996898618,2024-08-01,2026-07-01
state_2-year,C(calendar_month)[T.7],-10.111788151629314,2.107543829052173,-4.79790171489667,1.6033641590537399e-06,-14.242498152411214,-5.981078150847415,2024-08-01,2026-07-01
state_2-year,C(calendar_month)[T.8],-12.184412788441925,3.2816684932684366,-3.7128713072131916,0.00020492110110802148,-18.616364844447887,-5.7524607324359645,2024-08-01,2026-07-01
state_2-year,C(calendar_month)[T.9],-5.509367479325965,3.5754714397361504,-1.5408786148023392,0.12334633146060897,-12.517162728960393,1.4984277703084645,2024-08-01,2026-07-01
state_2-year,C(calendar_month)[T.10],-0.4083293367157812,3.2915009970726348,-0.12405566247099345,0.901271203121427,-6.859552746055824,6.042894072624261,2024-08-01,2026-07-01
state_2-year,C(calendar_month)[T.11],-14.570569839523323,2.032242200115781,-7.16970144537556,7.516149651642364e-13,-18.553691359612696,-10.587448319433951,2024-08-01,2026-07-01
state_2-year,C(calendar_month)[T.12],-5.931595228529446,1.6896452255150014,-3.5105566180151837,0.0004471695692573444,-9.243239017188905,-2.6199514398699852,2024-08-01,2026-07-01
state_2-year,C(Commodity)[T.Bengal Gram(Gram)(Whole)],22.905341823813835,2.316907648664926,9.886169540254487,4.7796757706702026e-23,18.3642862769252,27.44639737070247,2024-08-01,2026-07-01
state_2-year,C(Commodity)[T.Onion],20.275839795699476,2.982715481820224,6.797778708455959,1.0624447857610417e-11,14.429824875201803,26.12185471619715,2024-08-01,2026-07-01
state_2-year,C(Commodity)[T.Potato],22.674605598904257,2.7841159888982387,8.144274767761132,3.8156188469727353e-16,17.217838531881593,28.13137266592692,2024-08-01,2026-07-01
state_2-year,C(Commodity)[T.Rice],29.52301428625366,3.9402065790133642,7.492757979620013,6.744119292316152e-14,21.800351299739688,37.24567727276763,2024-08-01,2026-07-01
state_2-year,C(Commodity)[T.Soyabean],30.517925876683925,2.9456846520610203,10.360214850334136,3.761162399397153e-25,24.744490048831924,36.29136170453592,2024-08-01,2026-07-01
state_2-year,C(Commodity)[T.Tomato],39.61521760428039,3.178180130070167,12.464749001940861,1.1623718880519464e-35,33.386099012962035,45.84433619559874,2024-08-01,2026-07-01
state_2-year,C(Commodity)[T.Wheat],25.556318779299723,2.4500730297803934,10.430839598928365,1.79296927201764e-25,20.75426388143722,30.358373677162227,2024-08-01,2026-07-01
state_2-year,C(region)[T.Andhra Pradesh],104.27845522642862,2.2585519980996764,46.17049123250981,0.0,99.85177465294228,108.70513579991496,2024-08-01,2026-07-01
state_2-year,C(region)[T.Arunachal Pradesh],2.6671839498545673e-13,1.4016299316399327e-14,19.02915947816492,9.780891705515481e-81,2.3924695312878065e-13,2.941898368421328e-13,2024-08-01,2026-07-01
state_2-year,C(region)[T.Assam],151.70851391001253,3.1087979238389067,48.799734697028775,0.0,145.61538194407538,157.80164587594967,2024-08-01,2026-07-01
state_2-year,C(region)[T.Bihar],102.28103957820814,2.5134317196488882,40.69378084895666,0.0,97.35480393009574,107.20727522632053,2024-08-01,2026-07-01
state_2-year,C(region)[T.Chandigarh],98.2437058748876,1.9702309428281455,49.8640559029414,0.0,94.38212418571804,102.10528756405715,2024-08-01,2026-07-01
state_2-year,C(region)[T.Chhattisgarh],103.02951976385667,2.371125880570445,43.451729243101106,0.0,98.38219843512778,107.67684109258556,2024-08-01,2026-07-01
state_2-year,C(region)[T.Delhi],109.62528614738292,2.084900504816123,52.580584010675025,0.0,105.53895624659394,113.7116160481719,2024-08-01,2026-07-01
state_2-year,C(region)[T.Goa],104.9870371115773,2.6414664179793603,39.74573986516516,0.0,99.80985806596573,110.16421615718886,2024-08-01,2026-07-01
state_2-year,C(region)[T.Gujarat],107.02495670146968,2.8608445891246044,37.41026587334423,2.6607082222251726e-306,101.41780434141916,112.6321090615202,2024-08-01,2026-07-01
state_2-year,C(region)[T.Haryana],106.58004986026216,2.7338873187889807,38.98479982250092,0.0,101.22172917764499,111.93837054287934,2024-08-01,2026-07-01
state_2-year,C(region)[T.Himachal Pradesh],103.2711918340311,2.76086984468034,37.40530979141035,3.2031051447978936e-306,97.85998637245494,108.68239729560726,2024-08-01,2026-07-01
state_2-year,C(region)[T.Jammu and Kashmir],94.48666011494,2.5142380632530954,37.58063386912797,4.453924888882287e-309,89.55884406240419,99.4144761674758,2024-08-01,2026-07-01
state_2-year,C(region)[T.Jharkhand],7.608971864611893e-15,1.3085719891642529e-15,5.814713999396796,6.073763952416996e-09,5.044217894672019e-15,1.0173725834551767e-14,2024-08-01,2026-07-01
state_2-year,C(region)[T.Karnataka],101.39537635546873,2.5525674631631454,39.72289775637092,0.0,96.3924360595602,106.39831665137726,2024-08-01,2026-07-01
state_2-year,C(region)[T.Kerala],105.5922263757405,2.9324391633368103,36.008326343448346,6.197041890683388e-284,99.84475122874558,111.33970152273541,2024-08-01,2026-07-01
state_2-year,C(region)[T.Madhya Pradesh],108.80487459206395,3.3789373427724168,32.200915126407644,1.7136066404197535e-227,102.18227909421255,115.42747008991536,2024-08-01,2026-07-01
state_2-year,C(region)[T.Maharashtra],107.2177758883545,3.1489895154418455,34.04831148614047,4.2991767489704964e-254,101.04586985039424,113.38968192631475,2024-08-01,2026-07-01
state_2-year,C(region)[T.Manipur],105.45940861834215,2.610069722515198,40.40482432657623,0.0,100.34376596507391,110.57505127161039,2024-08-01,2026-07-01
state_2-year,C(region)[T.Meghalaya],100.47080601006996,2.2461334983637915,44.73055857243502,0.0,96.06846524880798,104.87314677133195,2024-08-01,2026-07-01
state_2-year,C(region)[T.Mizoram],1.6361683444394363e-15,6.608516265174211e-16,2.4758482521436367,0.013292005974859128,3.4092295734057603e-16,2.9314137315382963e-15,2024-08-01,2026-07-01
state_2-year,C(region)[T.Nagaland],93.5692814553931,1.9472311491753653,48.05247774257249,0.0,89.75277853343484,97.38578437735136,2024-08-01,2026-07-01
state_2-year,C(region)[T.Odisha],105.10747817615791,2.6249156270273852,40.04223110789585,0.0,99.96273808472786,110.25221826758796,2024-08-01,2026-07-01
state_2-year,C(region)[T.Punjab],108.45235997801608,2.975880889137542,36.443783880559586,8.630103699258999e-291,102.61974061302546,114.2849793430067,2024-08-01,2026-07-01
state_2-year,C(region)[T.Rajasthan],110.23343385500206,3.1521193530137666,34.971211908459935,6.164710544572242e-268,104.05539344812338,116.41147426188074,2024-08-01,2026-07-01
state_2-year,C(region)[T.Sikkim],-5.199317891444272e-16,5.11211497706361e-16,-1.0170580894154206,0.30912579620836844,-1.5218879131316752e-15,4.820243348428208e-16,2024-08-01,2026-07-01
state_2-year,C(region)[T.Tamil Nadu],128.51643439457666,3.4637035371762153,37.10376278315947,2.4431100806843e-301,121.7277002085873,135.30516858056603,2024-08-01,2026-07-01
state_2-year,C(region)[T.Telangana],103.63205986208935,2.484366316949839,41.71367932138236,0.0,98.76279135646324,108.50132836771546,2024-08-01,2026-07-01
state_2-year,C(region)[T.Tripura],101.25711459930987,2.710111604559859,37.362710240028925,1.5765131597500252e-305,95.94539346028849,106.56883573833126,2024-08-01,2026-07-01
state_2-year,C(region)[T.Uttar Pradesh],108.73999423247938,3.153129280419692,34.48637355522756,1.2839599206456079e-260,102.55997440425809,114.92001406070067,2024-08-01,2026-07-01
state_2-year,C(region)[T.Uttarakhand],100.37810058157562,2.2092537369714647,45.43529740462407,0.0,96.04804282440102,104.70815833875022,2024-08-01,2026-07-01
state_2-year,C(region)[T.West Bengal],107.53978018432016,3.022547771635261,35.57918296395988,2.940560134977956e-277,101.61569541036326,113.46386495827707,2024-08-01,2026-07-01
state_2-year,rainfall_anomaly_lag1_z,-1.4114462914466943,0.9371288211271,-1.5061390276623068,0.1320314876524656,-3.2481850297302888,0.4252924468369004,2024-08-01,2026-07-01
state_2-year,temperature_anomaly_lag1_z,4.988501944064856,0.9670836930715222,5.15829393030198,2.4921018397952835e-07,3.0930527356086843,6.8839511525210275,2024-08-01,2026-07-01
state_2-year,relative_humidity_pct_z,-2.0326946195982907,1.526286556217492,-1.3317909479827958,0.18292889331025708,-5.024161299872244,0.9587720606756625,2024-08-01,2026-07-01
state_2-year,log_source_rows_z,-2.731718966647236,0.777341965153549,-3.5141792018235334,0.0004411151195632192,-4.255281222019782,-1.20815671127469,2024-08-01,2026-07-01
state_2-year,trend_years_z,-11.018983904486742,1.281620434483138,-8.597696796969819,8.1331834550439e-18,-13.530913797924267,-8.507054011049217,2024-08-01,2026-07-01
state_5-year,Intercept,-50.08405371607306,3.8401798035814037,-13.042111640023728,7.047766590342566e-39,-57.61066782525071,-42.55743960689541,2021-08-01,2026-07-01
state_5-year,C(calendar_month)[T.2],-3.7129145561493067,0.9467856709277774,-3.9215998616782346,8.796297912860522e-05,-5.568580372246342,-1.8572487400522715,2021-08-01,2026-07-01
state_5-year,C(calendar_month)[T.3],-4.4765460749706065,1.2916015785486898,-3.465887739159226,0.0005284838916790151,-7.008038651301121,-1.945053498640093,2021-08-01,2026-07-01
state_5-year,C(calendar_month)[T.4],-3.972383620639634,1.4329673436108044,-2.7721382754124635,0.005568937486040863,-6.780948005138843,-1.1638192361404252,2021-08-01,2026-07-01
state_5-year,C(calendar_month)[T.5],0.7143404344133446,1.2666896913574452,0.5639427235314619,0.5727931128429155,-1.7683257402354051,3.197006609062094,2021-08-01,2026-07-01
state_5-year,C(calendar_month)[T.6],6.479830379921649,1.6053457864714142,4.036407878307925,5.4275823304470813e-05,3.3334104557045485,9.626250304138749,2021-08-01,2026-07-01
state_5-year,C(calendar_month)[T.7],5.590962658544262,1.878501546917795,2.9762885570777375,0.0029176019639267454,1.9091672816826053,9.272758035405918,2021-08-01,2026-07-01
state_5-year,C(calendar_month)[T.8],4.118384481073877,1.9340002654851192,2.129464279075904,0.0332158672253839,0.3278136146321402,7.908955347515613,2021-08-01,2026-07-01
state_5-year,C(calendar_month)[T.9],-0.5294105127954121,1.7182680840797013,-0.30810705133882677,0.758000875875701,-3.897154073376268,2.8383330477854436,2021-08-01,2026-07-01
state_5-year,C(calendar_month)[T.10],-1.6046400157278826,1.5097108012822869,-1.0628790721805572,0.28783679475929913,-4.563618813312272,1.3543387818565062,2021-08-01,2026-07-01
state_5-year,C(calendar_month)[T.11],-3.066569273399529,0.9380942706751353,-3.2689350838829405,0.0010795306576827605,-4.905200258026163,-1.227938288772895,2021-08-01,2026-07-01
