feature,standardized_coefficient,absolute_coefficient
cpi_lag_1,3.275523501311744,3.275523501311744
cpi_lag_12,3.176249180710057,3.176249180710057
cpi_rolling_mean_12_lag1,3.0666395355671825,3.0666395355671825
cpi_rolling_mean_3_lag1,3.029833737145171,3.029833737145171
cpi_lag_2,2.9465895808480864,2.9465895808480864
cpi_lag_6,2.904218959927609,2.904218959927609
cpi_lag_3,2.8633919185341674,2.8633919185341674
trend_months,2.5221549974687045,2.5221549974687045
mandi_price_index_2015_100_lag1,2.27643138083871,2.27643138083871
cpi_rolling_std_12_lag1,0.5282909112198982,0.5282909112198982
state_avg_temperature_c_lag1,0.46482815017943896,0.46482815017943896
state_avg_rainfall_mm_lag1,0.33308091224815933,0.33308091224815933
month_cos,-0.187325935698096,0.187325935698096
month_sin,0.18512360147419676,0.18512360147419676
world_crude_oil_usd_per_bbl_lag1,-0.14123937426227431,0.14123937426227431
world_wheat_usd_per_mt_lag1,0.13356094177291952,0.13356094177291952
