scenario,date,segment,food_expenditure_share,purchasing_power_growth_pct,scenario_food_cost_growth_yoy_pct,hfasi
Baseline,2026-01-01,Rural,0.463,4.0,0.359967571139741,98.3146649854377
Baseline,2026-02-01,Rural,0.463,4.0,1.791373589698253,98.9774059720303
Baseline,2026-03-01,Rural,0.463,4.0,2.583040378968016,99.34394769546219
Baseline,2026-04-01,Rural,0.463,4.0,3.155344247268954,99.60892438648553
Baseline,2026-05-01,Rural,0.463,4.0,3.494369820059995,99.76589322668778
Baseline,2026-06-01,Rural,0.463,4.0,3.19385787676143,99.62675619694055
Baseline,2026-07-01,Rural,0.463,4.0,2.4419911993915244,99.27864192531828
Baseline,2026-08-01,Rural,0.463,4.0,2.1282807834275053,99.13339400272693
Baseline,2026-09-01,Rural,0.463,4.0,2.625221366151753,99.36347749252826
Baseline,2026-10-01,Rural,0.463,4.0,3.3233792593209355,99.68672459706559
Baseline,2026-11-01,Rural,0.463,4.0,3.040821868747523,99.5559005252301
Baseline,2026-12-01,Rural,0.463,4.0,2.849372158883101,99.46725930956288
Baseline,2026-01-01,Urban,0.391,4.0,0.359967571139741,98.57674732031563
Baseline,2026-02-01,Urban,0.391,4.0,1.791373589698253,99.13642707357202
Baseline,2026-03-01,Urban,0.391,4.0,2.583040378968016,99.4459687881765
Baseline,2026-04-01,Urban,0.391,4.0,3.155344247268954,99.66973960068216
Baseline,2026-05-01,Urban,0.391,4.0,3.494369820059995,99.80229859964346
Baseline,2026-06-01,Urban,0.391,4.0,3.19385787676143,99.68479842981372
Baseline,2026-07-01,Urban,0.391,4.0,2.4419911993915244,99.39081855896208
Baseline,2026-08-01,Urban,0.391,4.0,2.1282807834275053,99.26815778632016
Baseline,2026-09-01,Urban,0.391,4.0,2.625221366151753,99.46246155416533
Baseline,2026-10-01,Urban,0.391,4.0,3.3233792593209355,99.73544129039449
Baseline,2026-11-01,Urban,0.391,4.0,3.040821868747523,99.62496135068028
Baseline,2026-12-01,Urban,0.391,4.0,2.849372158883101,99.55010451412329
Favorable supply,2026-01-01,Rural,0.463,4.0,-1.640032428860259,97.3886649854377
Favorable supply,2026-02-01,Rural,0.463,4.0,-0.208626410301747,98.0514059720303
Favorable supply,2026-03-01,Rural,0.463,4.0,0.5830403789680161,98.41794769546219
Favorable supply,2026-04-01,Rural,0.463,4.0,1.1553442472689541,98.68292438648552
Favorable supply,2026-05-01,Rural,0.463,4.0,1.4943698200599949,98.83989322668778
Favorable supply,2026-06-01,Rural,0.463,4.0,1.19385787676143,98.70075619694055
Favorable supply,2026-07-01,Rural,0.463,4.0,0.4419911993915244,98.35264192531828
Favorable supply,2026-08-01,Rural,0.463,4.0,0.12828078342750526,98.20739400272693
Favorable supply,2026-09-01,Rural,0.463,4.0,0.6252213661517532,98.43747749252826
Favorable supply,2026-10-01,Rural,0.463,4.0,1.3233792593209355,98.76072459706559
Favorable supply,2026-11-01,Rural,0.463,4.0,1.040821868747523,98.6299005252301
Favorable supply,2026-12-01,Rural,0.463,4.0,0.8493721588831011,98.54125930956288
Favorable supply,2026-01-01,Urban,0.391,4.0,-1.640032428860259,97.79474732031564
Favorable supply,2026-02-01,Urban,0.391,4.0,-0.208626410301747,98.35442707357201
Favorable supply,2026-03-01,Urban,0.391,4.0,0.5830403789680161,98.66396878817649
Favorable supply,2026-04-01,Urban,0.391,4.0,1.1553442472689541,98.88773960068217
Favorable supply,2026-05-01,Urban,0.391,4.0,1.4943698200599949,99.02029859964345
Favorable supply,2026-06-01,Urban,0.391,4.0,1.19385787676143,98.90279842981371
Favorable supply,2026-07-01,Urban,0.391,4.0,0.4419911993915244,98.60881855896208
Favorable supply,2026-08-01,Urban,0.391,4.0,0.12828078342750526,98.48615778632015
Favorable supply,2026-09-01,Urban,0.391,4.0,0.6252213661517532,98.68046155416533
Favorable supply,2026-10-01,Urban,0.391,4.0,1.3233792593209355,98.95344129039448
Favorable supply,2026-11-01,Urban,0.391,4.0,1.040821868747523,98.84296135068028
Favorable supply,2026-12-01,Urban,0.391,4.0,0.8493721588831011,98.7681045141233
Moderate stress,2026-01-01,Rural,0.463,4.0,3.359967571139741,99.7036649854377
Moderate stress,2026-02-01,Rural,0.463,4.0,4.791373589698253,100.3664059720303
Moderate stress,2026-03-01,Rural,0.463,4.0,5.5830403789680165,100.73294769546219
Moderate stress,2026-04-01,Rural,0.463,4.0,6.155344247268954,100.99792438648552
Moderate stress,2026-05-01,Rural,0.463,4.0,6.494369820059995,101.15489322668778
Moderate stress,2026-06-01,Rural,0.463,4.0,6.19385787676143,101.01575619694054
Moderate stress,2026-07-01,Rural,0.463,4.0,5.441991199391524,100.66764192531828
Moderate stress,2026-08-01,Rural,0.463,4.0,5.128280783427505,100.52239400272694
Moderate stress,2026-09-01,Rural,0.463,4.0,5.625221366151753,100.75247749252826
Moderate stress,2026-10-01,Rural,0.463,4.0,6.3233792593209355,101.07572459706559
Moderate stress,2026-11-01,Rural,0.463,4.0,6.040821868747523,100.9449005252301
Moderate stress,2026-12-01,Rural,0.463,4.0,5.849372158883101,100.85625930956287
Moderate stress,2026-01-01,Urban,0.391,4.0,3.359967571139741,99.74974732031563
Moderate stress,2026-02-01,Urban,0.391,4.0,4.791373589698253,100.30942707357201
Moderate stress,2026-03-01,Urban,0.391,4.0,5.5830403789680165,100.61896878817649
Moderate stress,2026-04-01,Urban,0.391,4.0,6.155344247268954,100.84273960068217
Moderate stress,2026-05-01,Urban,0.391,4.0,6.494369820059995,100.97529859964345
Moderate stress,2026-06-01,Urban,0.391,4.0,6.19385787676143,100.85779842981371
Moderate stress,2026-07-01,Urban,0.391,4.0,5.441991199391524,100.56381855896208
Moderate stress,2026-08-01,Urban,0.391,4.0,5.128280783427505,100.44115778632016
Moderate stress,2026-09-01,Urban,0.391,4.0,5.625221366151753,100.63546155416533
Moderate stress,2026-10-01,Urban,0.391,4.0,6.3233792593209355,100.90844129039449
Moderate stress,2026-11-01,Urban,0.391,4.0,6.040821868747523,100.79796135068028
Moderate stress,2026-12-01,Urban,0.391,4.0,5.849372158883101,100.72310451412329
Severe stress,2026-01-01,Rural,0.463,4.0,6.359967571139741,101.0926649854377
Severe stress,2026-02-01,Rural,0.463,4.0,7.791373589698253,101.75540597203029
Severe stress,2026-03-01,Rural,0.463,4.0,8.583040378968017,102.1219476954622
Severe stress,2026-04-01,Rural,0.463,4.0,9.155344247268953,102.38692438648553
Severe stress,2026-05-01,Rural,0.463,4.0,9.494369820059994,102.54389322668777
Severe stress,2026-06-01,Rural,0.463,4.0,9.193857876761431,102.40475619694054
Severe stress,2026-07-01,Rural,0.463,4.0,8.441991199391524,102.05664192531827
Severe stress,2026-08-01,Rural,0.463,4.0,8.128280783427506,101.91139400272694
Severe stress,2026-09-01,Rural,0.463,4.0,8.625221366151752,102.14147749252827
Severe stress,2026-10-01,Rural,0.463,4.0,9.323379259320935,102.4647245970656
Severe stress,2026-11-01,Rural,0.463,4.0,9.040821868747523,102.3339005252301
Severe stress,2026-12-01,Rural,0.463,4.0,8.849372158883101,102.24525930956288
Severe stress,2026-01-01,Urban,0.391,4.0,6.359967571139741,100.92274732031564
Severe stress,2026-02-01,Urban,0.391,4.0,7.791373589698253,101.48242707357201
Severe stress,2026-03-01,Urban,0.391,4.0,8.583040378968017,101.79196878817649
Severe stress,2026-04-01,Urban,0.391,4.0,9.155344247268953,102.01573960068217
Severe stress,2026-05-01,Urban,0.391,4.0,9.494369820059994,102.14829859964345
Severe stress,2026-06-01,Urban,0.391,4.0,9.193857876761431,102.03079842981371
Severe stress,2026-07-01,Urban,0.391,4.0,8.441991199391524,101.73681855896209
Severe stress,2026-08-01,Urban,0.391,4.0,8.128280783427506,101.61415778632015
Severe stress,2026-09-01,Urban,0.391,4.0,8.625221366151752,101.80846155416533
Severe stress,2026-10-01,Urban,0.391,4.0,9.323379259320935,102.08144129039448
Severe stress,2026-11-01,Urban,0.391,4.0,9.040821868747523,101.97096135068028
Severe stress,2026-12-01,Urban,0.391,4.0,8.849372158883101,101.8961045141233
