scenario,target_date,horizon_months,shock_probability
Baseline,2026-01-01,1,0.02586590744287365
Baseline,2026-02-01,2,0.01125168024908451
Baseline,2026-03-01,3,0.01202362230026512
Baseline,2026-04-01,4,0.01202362230026512
Baseline,2026-05-01,5,0.00797033400471516
Baseline,2026-06-01,6,0.008540293052855235
Baseline,2026-07-01,7,0.03799609126846582
Baseline,2026-08-01,8,0.04123813257200249
Baseline,2026-09-01,9,0.01426897222360953
Baseline,2026-10-01,10,0.016560447067190807
Baseline,2026-11-01,11,0.018084936955688326
Baseline,2026-12-01,12,0.017766900264841953
Favorable supply,2026-01-01,1,0.024010181478106518
Favorable supply,2026-02-01,2,0.016029322248108362
Favorable supply,2026-03-01,3,0.035614031739559876
Favorable supply,2026-04-01,4,0.035614031739559876
Favorable supply,2026-05-01,5,0.011370687512857571
Favorable supply,2026-06-01,6,0.012506213774284288
Favorable supply,2026-07-01,7,0.04365255433821364
Favorable supply,2026-08-01,8,0.05436161630063218
Favorable supply,2026-09-01,9,0.026911309445769437
Favorable supply,2026-10-01,10,0.02739866684150503
Favorable supply,2026-11-01,11,0.02655765158130062
Favorable supply,2026-12-01,12,0.018971205793434722
Moderate stress,2026-01-01,1,0.022901035513089935
Moderate stress,2026-02-01,2,0.007912986581967691
Moderate stress,2026-03-01,3,0.014544983436620489
Moderate stress,2026-04-01,4,0.014544983436620489
Moderate stress,2026-05-01,5,0.017056121058798834
Moderate stress,2026-06-01,6,0.017720099728114027
Moderate stress,2026-07-01,7,0.037913534829386746
Moderate stress,2026-08-01,8,0.05611373402949695
Moderate stress,2026-09-01,9,0.06329324990765976
Moderate stress,2026-10-01,10,0.027614845257397398
Moderate stress,2026-11-01,11,0.02651769268929916
Moderate stress,2026-12-01,12,0.021704918074414267
Severe stress,2026-01-01,1,0.025817531385593364
Severe stress,2026-02-01,2,0.013693876510673523
Severe stress,2026-03-01,3,0.0740742764245224
Severe stress,2026-04-01,4,0.10399906061653029
Severe stress,2026-05-01,5,0.4093429597993896
Severe stress,2026-06-01,6,0.41701899431630857
Severe stress,2026-07-01,7,0.6358884273203361
Severe stress,2026-08-01,8,0.15750570601018477
Severe stress,2026-09-01,9,0.31023250048827605
Severe stress,2026-10-01,10,0.4013998859986817
Severe stress,2026-11-01,11,0.7488135892505073
Severe stress,2026-12-01,12,0.6742485151351623
